대지위치,사용승인일,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인일(년도),위도,경도,건물연차점수,지상층수_점수,지하층수_점수,비상용승강기_점수,주용도_점수,구조코드_점수,소화전거리,소방서거리,소화전거리_점수,소방관서거리_점수,total_score
경상북도 영천시 신녕면 완전리 852-173번지,20151030,4,0,12.55,철근콘크리트구조,철근콘크리트구조,단독주택,0,2015,36.03905887,128.789963,1,3,0,5,2,0,10.16255436,1144.219768,1,2,14
경상북도 영천시 신녕면 완전리 852-203번지,20191220,4,0,11.9,철근콘크리트구조,철근콘크리트구조,단독주택,0,2019,36.03902222,128.7894183,1,3,0,5,2,0,59.03359955,1103.55105,2,2,15
경상북도 영천시 신녕면 완전리 852-218번지,20090915,1,0,4,블록구조,시멘트블록구조,단독주택,0,2009,36.03966057,128.7893874,2,0,0,5,2,4,81.51925139,1067.228583,3,2,18
경상북도 영천시 신녕면 완전리 852-220번지,20090915,1,0,4.08,경량철골구조,경량철골구조,단독주택,0,2009,36.03968946,128.7892388,2,0,0,5,2,2,94.18149431,1053.865222,4,2,17
경상북도 영천시 신녕면 완전리 853-2번지,19901107,2,0,0,철근콘크리트구조,R.C,제1종근린생활시설,0,1990,36.03967206,128.788134,4,1,0,5,6,0,184.1722028,967.4200046,5,1,22
경상북도 영천시 신녕면 완전리 853-3번지,20131113,1,0,4.96,경량철골구조,경량철골구조,단독주택,0,2013,36.03956265,128.7882196,2,0,0,5,2,2,173.6314835,980.1735917,5,1,17
경상북도 영천시 신녕면 완전리 853-4번지,19980123,1,0,4.7,경량철골구조,경량철골구조,제1종근린생활시설,0,1998,36.03939382,128.78826,3,0,0,5,6,2,166.1989808,992.8628634,5,1,22
경상북도 영천시 신녕면 완전리 853-6번지,1895,1,0,0,일반목구조,목조,단독주택,0,1895,36.03932366,128.788016,5,0,0,5,2,5,186.4820385,978.258672,5,1,23
경상북도 영천시 신녕면 완전리 853-7번지,19960911,1,0,4.9,벽돌구조,조적조(시멘트벽돌),단독주택,0,1996,36.03931165,128.7878123,3,0,0,5,2,4,201.0586243,963.5210942,5,1,20
경상북도 영천시 신녕면 완전리 853-13번지,1920,1,0,0,일반목구조,목조,단독주택,0,1920,36.03885482,128.7882394,5,0,0,5,2,5,138.8895669,1023.532045,5,2,24
