일련번호,소화전 고유코드,모델구분,상태,위치명,위도,경도
1000008943,경산소방서 경산중앙지상105,소화용수시설 소화전(지상식),사용가,경상북도 경산시 계양동 683-2 ,35.81882095,128.7476349
1000008946,경산소방서 경산중앙지상106,소화용수시설 소화전(지상식),사용가,경상북도 경산시 평산동 590,35.80167007,128.763382
1000008384,경산소방서 경산중앙지상107,소화용수시설 소화전(지상식),사용가,경상북도 경산시 사동 607-11 ,35.81393051,128.7530823
1000015092,경산소방서 경산중앙지상108,소화용수시설 소화전(지상식),사용가,경북 경산시 유곡동 293-2,35.79761505,128.776062
1000015089,경산소방서 경산중앙지상109,소화용수시설 소화전(지상식),사용가,경북 경산시 계양동 723,35.83351517,128.7438965
1000015090,경산소방서 경산중앙지상110,소화용수시설 소화전(지상식),사용가,경상북도 경산시 계양동 806,35.83150864,128.7436829
1000016122,경산소방서 경산중앙지상111,소화용수시설 소화전(지상식),사용가,경상북도 경산시 계양동 672-3 ,35.82155609,128.7491455
1000016123,경산소방서 경산중앙지상112,소화용수시설 소화전(지상식),사용가,경상북도 경산시 계양동 717 ,35.83348846,128.7419586
1000008437,경산소방서 경산중앙지상113,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼남동 132-2,35.81429672,128.7387543
1000011200,경산소방서 경산중앙지상114,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.82093048,128.7460327
1000011199,경산소방서 경산중앙지상115,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.82009888,128.7465057
1000011201,경산소방서 경산중앙지상116,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.81953049,128.7459717
1000011202,경산소방서 경산중앙지상117,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.81937027,128.7450562
1000011203,경산소방서 경산중앙지상118,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.81932831,128.7455139
1000011204,경산소방서 경산중앙지상119,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.81980515,128.7442932
1000011205,경산소방서 경산중앙지상120,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.82017899,128.7443085
1000011206,경산소방서 경산중앙지상121,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.82056046,128.7443542
1000011207,경산소방서 경산중앙지상122,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.8210144,128.7445526
1000011208,경산소방서 경산중앙지상123,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.82164383,128.7442169
1000008442,경산소방서 경산중앙지상124,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 228-3 ,35.8183136,128.7380981
1000011209,경산소방서 경산중앙지상125,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.82126999,128.7449493
1000011210,경산소방서 경산중앙지상126,소화용수시설 소화전(지상식),사용가,경상북도 경산시 상방동 10,35.8212471,128.7432861
1000008449,경산소방서 경산중앙지상127,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 864-23 ,35.82592773,128.7379303
1000008432,경산소방서 경산중앙지상128,소화용수시설 소화전(지상식),사용가,경상북도 경산시 서상동 24-1 ,35.81724167,128.7358398
1000008535,경산소방서 경산중앙지상129,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 45-2 ,35.81658173,128.7406006
1000008444,경산소방서 경산중앙지상130,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 279-1 ,35.82158661,128.7386627
1000008445,경산소방서 경산중앙지상131,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 351-1 ,35.82199097,128.7333069
1000008447,경산소방서 경산중앙지상132,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 539-2 ,35.82322311,128.7358398
1000008448,경산소방서 경산중앙지상133,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 886,35.82383728,128.7410889
1000008441,경산소방서 경산중앙지상134,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼남동 45 ,35.81684494,128.7385101
1000008914,경산소방서 경산중앙지상135,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼남동 152-24 ,35.81354141,128.7387238
1000011151,경산소방서 경산중앙지상136,소화용수시설 소화전(지상식),사용가,경상북도 경산시 백천동 574-1,35.80430603,128.7383728
1000008455,경산소방서 경산중앙지상137,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 855-30 ,35.82435608,128.7345123
1000008595,경산소방서 경산중앙지상138,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 269-1 ,35.81925964,128.7362366
1000015097,경산소방서 경산중앙지상139,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 35-2 ,35.83422852,128.7402344
1000015098,경산소방서 경산중앙지상140,소화용수시설 소화전(지상식),철거,경상북도 경산시 서상동 14-2,35.81926346,128.7349701
1000015116,경산소방서 경산중앙지상141,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 275-1,35.80966187,128.7404022
1000008453,경산소방서 경산중앙지상142,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 268-1,35.82015228,128.7361603
1000008456,경산소방서 경산중앙지상143,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 824-6 ,35.83019638,128.7392273
1000008457,경산소방서 경산중앙지상144,소화용수시설 소화전(지상식),사용가,경상북도 경산시 서상동 6-1 ,35.82021332,128.7351685
1000008458,경산소방서 경산중앙지상145,소화용수시설 소화전(지상식),사용가,경상북도 경산시 삼북동 266-14 ,35.82089996,128.7361298
1000008396,경산소방서 경산중앙지상146,소화용수시설 소화전(지상식),사용가,경상북도 경산시 중방동 862-1 ,35.82473755,128.7369843
